"id_serie";"model_name";"model_group";"metric";"value"
"Y2993";"BATS(0, {0,0}, 1, -)";"EXP_smoothing__TBATS";"mase";2.790631
"Y2993";"BATS(0, {0,0}, 1, -)";"EXP_smoothing__TBATS";"rmsse";3.138409
"Y2993";"SEASONAL DECOMP: ETS(M,N,N)";"SLTM";"smape";15.097015
"Y2993";"SEASONAL DECOMP: ETS(M,N,N)";"SLTM";"mase";3.101764
"Y2993";"SEASONAL DECOMP: ETS(M,N,N)";"SLTM";"rmsse";2.53976
"Y2993";"SEASONAL DECOMP: ARIMA(1,2,0)";"SLTM";"smape";5.981173
"Y2993";"SEASONAL DECOMP: ARIMA(1,2,0)";"SLTM";"mase";1.383981
"Y2993";"SEASONAL DECOMP: ARIMA(1,2,0)";"SLTM";"rmsse";1.53748
"Y2993";"PROPHET";"Prophet";"smape";8.84633
"Y2993";"PROPHET";"Prophet";"mase";1.864494
"Y2993";"PROPHET";"Prophet";"rmsse";1.519077
"Y1849";"NAIVE";"Naive";"smape";20.737411
"Y1849";"NAIVE";"Naive";"mase";2.908903
"Y1849";"NAIVE";"Naive";"rmsse";1.819624
"Y1849";"SNAIVE [5]";"Naive";"smape";32.630983
"Y1849";"SNAIVE [5]";"Naive";"mase";4.26501
"Y1849";"SNAIVE [5]";"Naive";"rmsse";2.473228
"Y1849";"ARIMA(0,2,2)";"Arima_Seas";"smape";4.189303
"Y1849";"ARIMA(0,2,2)";"Arima_Seas";"mase";0.666683
"Y1849";"ARIMA(0,2,2)";"Arima_Seas";"rmsse";0.499572
"Y1849";"ETS(M,A,N)";"EXP_smoothing__TBATS";"smape";4.110984
"Y1849";"ETS(M,A,N)";"EXP_smoothing__TBATS";"mase";0.654644
"Y1849";"ETS(M,A,N)";"EXP_smoothing__TBATS";"rmsse";0.490974
"Y1849";"THETA METHOD";"EXP_smoothing__TBATS";"smape";15.332076
"Y1849";"THETA METHOD";"EXP_smoothing__TBATS";"mase";2.220467
"Y1849";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";1.407358
"Y1849";"BATS(0.003, {0,0}, 1, -)";"EXP_smoothing__TBATS";"smape";8.299468
"Y1849";"BATS(0.003, {0,0}, 1, -)";"EXP_smoothing__TBATS";"mase";1.361483
"Y1849";"BATS(0.003, {0,0}, 1, -)";"EXP_smoothing__TBATS";"rmsse";0.810362
"Y1849";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"smape";5.334569
"Y1849";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"mase";0.831829
"Y1849";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"rmsse";0.576977
"Y1849";"SEASONAL DECOMP: ARIMA(0,2,2)";"SLTM";"smape";5.089986
"Y1849";"SEASONAL DECOMP: ARIMA(0,2,2)";"SLTM";"mase";0.796277
"Y1849";"SEASONAL DECOMP: ARIMA(0,2,2)";"SLTM";"rmsse";0.558038
"Y1849";"PROPHET";"Prophet";"smape";4.176113
"Y1849";"PROPHET";"Prophet";"mase";0.662782
"Y1849";"PROPHET";"Prophet";"rmsse";0.492449
"Y3378";"NAIVE";"Naive";"smape";17.027578
"Y3378";"NAIVE";"Naive";"mase";4.37844
"Y3378";"NAIVE";"Naive";"rmsse";2.676155
"Y3378";"SNAIVE [5]";"Naive";"smape";15.241386
"Y3378";"SNAIVE [5]";"Naive";"mase";3.924222
"Y3378";"SNAIVE [5]";"Naive";"rmsse";2.573098
"Y3378";"ARIMA(1,1,0)";"Arima_Seas";"smape";36.897678
"Y3378";"ARIMA(1,1,0)";"Arima_Seas";"mase";8.613947
"Y3378";"ARIMA(1,1,0)";"Arima_Seas";"rmsse";5.24923
"Y3378";"ETS(M,A,N)";"EXP_smoothing__TBATS";"smape";6.463452
"Y3378";"ETS(M,A,N)";"EXP_smoothing__TBATS";"mase";1.741345
"Y3378";"ETS(M,A,N)";"EXP_smoothing__TBATS";"rmsse";1.029082
"Y3378";"THETA METHOD";"EXP_smoothing__TBATS";"smape";10.689746
"Y3378";"THETA METHOD";"EXP_smoothing__TBATS";"mase";2.8346
"Y3378";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";1.702722
"Y3378";"BATS(0, {0,0}, 0.932, -)";"EXP_smoothing__TBATS";"smape";16.615123
"Y3378";"BATS(0, {0,0}, 0.932, -)";"EXP_smoothing__TBATS";"mase";4.268562
"Y3378";"BATS(0, {0,0}, 0.932, -)";"EXP_smoothing__TBATS";"rmsse";2.508022
"Y3378";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"smape";2.377969
"Y3378";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"mase";0.65377
"Y3378";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"rmsse";0.421192
"Y3378";"SEASONAL DECOMP: ARIMA(1,1,0)";"SLTM";"smape";27.580776
"Y3378";"SEASONAL DECOMP: ARIMA(1,1,0)";"SLTM";"mase";6.721565
"Y3378";"SEASONAL DECOMP: ARIMA(1,1,0)";"SLTM";"rmsse";4.148349
"Y3378";"PROPHET";"Prophet";"smape";3.64239
"Y3378";"PROPHET";"Prophet";"mase";1.01971
"Y3378";"PROPHET";"Prophet";"rmsse";0.59431
"Y11735";"NAIVE";"Naive";"smape";11.853405
"Y11735";"NAIVE";"Naive";"mase";1.637768
"Y11735";"NAIVE";"Naive";"rmsse";0.973227
"Y11735";"SNAIVE [5]";"Naive";"smape";12.297634
"Y11735";"SNAIVE [5]";"Naive";"mase";1.695252
"Y11735";"SNAIVE [5]";"Naive";"rmsse";1.081979
"Y11735";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"smape";7.240627
